schema,dbms,criterion,datagenerator,randomseed,merges
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,21,14
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,22,14
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,23,15
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,24,15
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,25,15
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,26,15
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,27,14
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,28,15
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,29,14
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,30,14
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,1,16
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,2,16
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,3,16
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,4,16
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,5,16
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,6,16
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,7,16
ArtistTerm,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,8,16
